timestamp,"date (UTC)","NO2 (ppb)","VOC (ppb)","pm 10 (ug/m3)","pm 2.5 (ug/m3)","NO2 (Plume AQI)","VOC (Plume AQI)","pm 10 (Plume AQI)","pm 2.5 (Plume AQI)"
1645576675,"2022-02-23 00:37:55",187,154,28.90892,18.467056,138,12,29,37
1645576735,"2022-02-23 00:38:55",187,153,26.640816,18.718267,138,12,27,37
1645576795,"2022-02-23 00:39:55",180,155,19.718267,17.468342,135,12,20,35
1645576855,"2022-02-23 00:40:55",183,154,30.69986,19.505503,136,12,31,39
1645576915,"2022-02-23 00:41:55",183,152,20.505503,17.881325,136,12,21,36
1645576975,"2022-02-23 00:42:55",183,154,19.578018,16.076393,136,12,20,32
1645577035,"2022-02-23 00:43:55",183,156,17.445835,18.291193,136,12,17,37
1645577095,"2022-02-23 00:44:55",178,154,28.28791,15.871724,134,12,28,32
1645577155,"2022-02-23 00:45:55",180,154,17.58885,18.06766,135,12,18,36
1645577215,"2022-02-23 00:46:55",178,153,41.655064,20.258171,134,12,42,41
1645577275,"2022-02-23 00:47:55",181,153,42.709328,21.983244,135,12,43,44
1645577335,"2022-02-23 00:48:55",176,151,22.983244,17.05878,133,12,23,34
1645577395,"2022-02-23 00:49:55",176,152,36.344395,16.361013,133,12,36,33
1645577455,"2022-02-23 00:50:55",178,153,17.361013,21.076223,134,12,17,42
1645577515,"2022-02-23 00:51:55",174,156,35.063423,17.225431,132,12,35,34
1645577575,"2022-02-23 00:52:55",176,156,18.225431,17.689331,133,12,18,35
1645577635,"2022-02-23 00:53:55",176,153,18.689331,16.712294,133,12,19,33
1645577695,"2022-02-23 00:54:55",170,153,,,130,12,0,0
1645577755,"2022-02-23 00:55:55",172,154,18.570484,17.699265,131,12,19,35
1645577815,"2022-02-23 00:56:55",179,149,24.712399,16.437809,134,12,25,33
1645577875,"2022-02-23 00:57:55",179,154,32.02102,17.393856,134,12,32,35
1645577935,"2022-02-23 00:58:55",172,156,24.540016,17.62812,131,12,25,35
1645577995,"2022-02-23 00:59:55",176,154,18.62812,15.040154,133,12,19,30
1645578055,"2022-02-23 01:00:55",172,155,16.040154,11.559175,131,12,16,23
1645578115,"2022-02-23 01:01:55",170,153,12.559175,11.912138,130,12,13,24
1645578175,"2022-02-23 01:02:55",177,155,18.820501,14.803721,133,12,19,30
1645578235,"2022-02-23 01:03:55",170,150,38.87924,16.535944,130,12,39,33
1645578295,"2022-02-23 01:04:55",170,151,36.097908,15.9671545,130,12,36,32
1645578355,"2022-02-23 01:05:55",170,155,16.967155,13.20498,130,12,17,26
1645578415,"2022-02-23 01:06:55",172,152,18.984953,12.697924,131,12,19,25
1645578475,"2022-02-23 01:07:55",172,150,32.252075,16.573229,131,12,32,33
1645578535,"2022-02-23 01:08:55",168,158,17.573229,15.036774,129,13,18,30
1645578595,"2022-02-23 01:09:55",170,153,16.036774,14.477044,130,12,16,29
1645578655,"2022-02-23 01:10:55",170,154,16.657059,14.157231,130,12,17,28
1645578715,"2022-02-23 01:11:55",168,155,15.157231,12.989717,129,12,15,26
1645578775,"2022-02-23 01:12:55",168,155,26.54377,18.396769,129,12,27,37
1645578835,"2022-02-23 01:13:55",162,153,19.396769,18.057888,126,12,19,36
1645578895,"2022-02-23 01:14:55",162,153,19.057888,14.903185,126,12,19,30
1645578955,"2022-02-23 01:15:55",160,157,15.903185,17.62619,125,13,16,35
1645579015,"2022-02-23 01:16:55",162,154,18.62619,16.993277,126,12,19,34
1645579075,"2022-02-23 01:17:55",160,158,30.377083,17.501305,125,13,30,35
1645579135,"2022-02-23 01:18:55",156,155,26.020473,18.606546,123,12,26,37
1645579195,"2022-02-23 01:19:55",158,153,19.606546,17.35655,124,12,20,35
1645579255,"2022-02-23 01:20:55",156,153,18.35655,13.833944,123,12,18,28
1645579315,"2022-02-23 01:21:55",156,156,16.520876,17.266182,123,12,17,35
1645579375,"2022-02-23 01:22:55",149,155,18.266182,14.723606,120,12,18,29
1645579435,"2022-02-23 01:23:55",154,155,15.723606,10.001502,122,12,16,20
1645579495,"2022-02-23 01:24:55",154,154,26.808296,17.818098,122,12,27,36
1645579555,"2022-02-23 01:25:55",152,151,18.818098,17.129139,121,12,19,34
1645579615,"2022-02-23 01:26:55",149,152,20.562693,18.293669,120,12,21,37
1645579675,"2022-02-23 01:27:55",156,154,35.843567,12.208519,123,12,36,24
1645579735,"2022-02-23 01:28:55",147,153,26.329119,11.51413,119,12,26,23
1645579795,"2022-02-23 01:29:55",149,155,26.115042,18.876743,120,12,26,38
1645579855,"2022-02-23 01:30:55",152,153,19.876743,17.35868,121,12,20,35
1645579915,"2022-02-23 01:31:55",149,152,24.280504,17.033298,120,12,24,34
1645579975,"2022-02-23 01:32:55",149,154,18.033298,17.162384,120,12,18,34
1645580035,"2022-02-23 01:33:55",149,154,26.390125,17.280272,120,12,26,35
1645580095,"2022-02-23 01:34:55",147,153,31.590618,21.222237,119,12,32,42
1645580155,"2022-02-23 01:35:55",149,159,22.222237,14.822419,120,13,22,30
1645580215,"2022-02-23 01:36:55",147,153,15.822419,17.77097,119,12,16,36
1645580275,"2022-02-23 01:37:55",145,155,18.77097,14.314881,118,12,19,29
1645580335,"2022-02-23 01:38:55",147,151,34.149387,19.227364,119,12,34,38
1645580395,"2022-02-23 01:39:55",145,153,20.227364,14.407649,118,12,20,29
1645580455,"2022-02-23 01:40:55",145,154,15.407649,15.287715,118,12,15,31
1645580515,"2022-02-23 01:41:55",145,152,29.859955,17.723082,118,12,30,35
1645580575,"2022-02-23 01:42:55",147,151,18.723082,16.636961,119,12,19,33
1645580635,"2022-02-23 01:43:55",143,153,32.17024,15.441484,117,12,32,31
1645580695,"2022-02-23 01:44:55",147,155,16.441484,12.609276,119,12,16,25
1645580755,"2022-02-23 01:45:55",145,154,15.275566,16.49666,118,12,15,33
1645580815,"2022-02-23 01:46:55",147,152,17.49666,17.535887,119,12,17,35
1645580875,"2022-02-23 01:47:55",143,153,18.535887,14.23778,117,12,19,28
1645580935,"2022-02-23 01:48:55",147,153,17.674625,15.291755,119,12,18,31
1645580995,"2022-02-23 01:49:55",149,154,16.291756,15.716101,120,12,16,31
1645581055,"2022-02-23 01:50:55",156,149,16.7161,14.6036,123,12,17,29
1645581115,"2022-02-23 01:51:55",160,153,15.6036,15.671856,125,12,16,31
1645581175,"2022-02-23 01:52:55",162,152,16.671856,12.423481,126,12,17,25
1645581235,"2022-02-23 01:53:55",160,152,34.79419,9.9097395,125,12,35,20
1645581295,"2022-02-23 01:54:55",158,154,10.9097395,13.248043,124,12,11,26
1645581355,"2022-02-23 01:55:55",164,155,14.248043,14.395502,127,12,14,29
1645581415,"2022-02-23 01:56:55",166,154,15.395502,11.250753,128,12,15,23
1645581475,"2022-02-23 01:57:55",162,154,12.250753,15.431869,126,12,12,31
1645581535,"2022-02-23 01:58:55",166,154,16.43187,14.887461,128,12,16,30
1645581595,"2022-02-23 01:59:55",166,154,19.876198,12.243822,128,12,20,24
1645581655,"2022-02-23 02:00:55",164,151,19.966522,13.206183,127,12,20,26
1645581715,"2022-02-23 02:01:55",164,148,14.206183,11.851403,127,12,14,24
1645581775,"2022-02-23 02:02:55",164,150,12.851403,16.224665,127,12,13,32
1645581835,"2022-02-23 02:03:55",171,152,17.224665,15.249695,130,12,17,30
1645581895,"2022-02-23 02:04:55",162,155,26.95189,9.097613,126,12,27,18
1645581955,"2022-02-23 02:05:55",166,155,13.436531,15.523912,128,12,13,31
1645582015,"2022-02-23 02:06:55",164,154,29.06446,16.675898,127,12,29,33
1645582075,"2022-02-23 02:07:55",166,154,17.675898,14.805553,128,12,18,30
1645582135,"2022-02-23 02:08:55",166,155,15.805553,10.1693735,128,12,16,20
1645582195,"2022-02-23 02:09:55",169,0,,,129,0,0,0
1645582255,"2022-02-23 02:10:55",164,151,25.995241,13.856977,127,12,26,28
1645582315,"2022-02-23 02:11:55",162,157,14.856977,10.412161,126,13,15,21
1645582375,"2022-02-23 02:12:55",160,152,11.412161,15.768687,125,12,11,32
1645582435,"2022-02-23 02:13:55",158,153,26.91988,9.331949,124,12,27,19
1645582495,"2022-02-23 02:14:55",162,153,32.95796,11.350218,126,12,33,23
1645582555,"2022-02-23 02:15:55",154,150,25.506638,9.416992,122,12,26,19
1645582615,"2022-02-23 02:16:55",154,154,14.631046,8.62924,122,12,15,17
1645582675,"2022-02-23 02:17:55",158,155,16.419083,12.601614,124,12,16,25
1645582735,"2022-02-23 02:18:55",156,153,14.036061,5.493461,123,12,14,11
1645582795,"2022-02-23 02:19:55",152,153,16.587461,12.737395,121,12,17,25
1645582855,"2022-02-23 02:20:55",158,153,13.737395,12.741092,124,12,14,25
1645582915,"2022-02-23 02:21:55",154,151,29.034569,11.426245,122,12,29,23
