timestamp,latitudine,longitudine,PM10 (ug/m3)
1645604959,45.070702,7.692292,29.029240
1645604962,45.070927,7.691966,29.029240
1645604976,45.071095,7.691630,29.029240
1645605007,45.070641,7.692736,29.029240
1645605007,45.070641,7.692736,30.452793
1645605016,45.070831,7.692135,30.452793
1645605038,45.070629,7.692681,30.452793
1645605301,45.070732,7.692245,26.347130
1645605301,45.070732,7.692245,34.235962
1645605319,45.070656,7.692660,34.235962
1645605726,45.070347,7.693221,29.552368
1645605726,45.070347,7.693221,29.126640
1645605753,45.070648,7.692708,29.126640
1645605771,45.070389,7.692970,29.126640
1645605783,45.070625,7.692691,29.126640
1645605783,45.070625,7.692691,27.639254
1645605864,45.070988,7.692571,27.639254
1645605864,45.070988,7.692571,13.683376
1645605874,45.070690,7.692638,13.683376
1645606176,45.070419,7.692305,15.214100
1645606176,45.070419,7.692305,10.096581
1645606209,45.070023,7.692110,10.096581
1645606209,45.070023,7.692110,66.420753
1645606251,45.070450,7.692594,66.420753
1645606320,45.070099,7.692231,13.297520
1645606320,45.070099,7.692231,17.955168
1645606362,45.070126,7.691080,17.955168
1645606369,45.070339,7.691736,17.955168
1645606400,45.070515,7.692300,17.955168
1645606400,45.070515,7.692300,22.269999
1645606462,45.070492,7.692707,22.269999
1645606462,45.070492,7.692707,22.331367
1645606490,45.070816,7.692641,22.331367
1645606523,45.070469,7.692298,22.331367
1645606523,45.070469,7.692298,20.862425
1645606584,45.070244,7.691982,20.862425
1645606584,45.070244,7.691982,25.775810
1645607483,45.069958,7.691984,11.359238
1645607483,45.069958,7.691984,14.911482
1645607856,45.070400,7.691937,8.361704
1645607856,45.070400,7.691937,22.978802
1645607887,45.070087,7.691961,22.978802
1645607887,45.070087,7.691961,14.272676
1645607915,45.070641,7.693208,14.272676
1645608011,45.070316,7.692021,15.984436
1645608011,45.070316,7.692021,19.554600
1645608097,45.068542,7.691385,19.554600
1645608097,45.068542,7.691385,11.410632
1645608104,45.069637,7.691708,11.410632
1645608135,45.068542,7.691385,11.410632
1645608135,45.068542,7.691385,13.114907
1645608185,45.069111,7.691000,13.114907
1645608185,45.069111,7.691000,15.652540
1645608304,45.069534,7.691605,7.611387
1645608304,45.069534,7.691605,16.446344
1645608353,45.069843,7.691421,16.446344
1645608389,45.069973,7.692007,16.446344
1645608389,45.069973,7.692007,17.943197
1645608797,45.070400,7.691941,14.410256
1645608797,45.070400,7.691941,12.759546
1645608828,45.070110,7.691978,12.759546
1645608953,45.070374,7.691771,14.309744
1645608953,45.070374,7.691771,8.605512
1645609045,45.070072,7.691879,13.916121
1645609045,45.070072,7.691879,13.015553
1645609378,45.070404,7.691937,12.591630
1645609378,45.070404,7.691937,12.717184
1645609408,45.069992,7.691807,12.717184
1645609452,45.071766,7.695105,12.717184
1645609452,45.071766,7.695105,16.554544
1645609470,45.070442,7.692334,16.554544
1645609600,45.070732,7.692444,23.637894
1645609600,45.070732,7.692444,24.036728
1645609610,45.071087,7.692985,24.036728
1645609665,45.070877,7.691962,24.036728
1645609665,45.070877,7.691962,18.481075
1645609685,45.070911,7.692845,18.481075
1645609685,45.070911,7.692845,39.433247
1645609739,45.070755,7.692128,39.433247
1645609739,45.070755,7.692128,24.026438
1645609795,45.070889,7.692477,24.026438
1645609850,45.070580,7.692291,30.433784
1645609942,45.070400,7.691940,35.387848
1645609942,45.070400,7.691940,31.066824
1645610054,45.074280,7.692837,38.675114
1645610054,45.074280,7.692837,9.123413
1645610103,45.070667,7.692161,9.123413
1645610103,45.070667,7.692161,2.000000
1645610130,45.070404,7.692363,2.000000
1645610222,45.070454,7.691973,25.324360
1645610222,45.070454,7.691973,4.054773
1645612021,45.070286,7.692323,8.913015
1645612021,45.070286,7.692323,24.638195
1645612058,45.070457,7.691827,24.638195
1645612264,45.070538,7.692220,13.204725
1645612264,45.070538,7.692220,17.642014
1645612319,45.070274,7.692124,17.642014
1645612319,45.070274,7.692124,23.675600
1645613238,45.070553,7.692085,40.085247
1645613238,45.070553,7.692085,74.014137
1645613432,45.070278,7.691983,25.804262
1645613432,45.070278,7.691983,41.457825
1645613504,45.070438,7.692292,41.457825
1645613504,45.070438,7.692292,70.508324
1645613619,45.070202,7.692062,48.784245
1645613619,45.070202,7.692062,21.883671
1645613680,45.070438,7.692247,21.883671
1645613680,45.070438,7.692247,19.287670
1645613803,45.070805,7.692471,12.046317
1645613803,45.070805,7.692471,18.969538
1645613834,45.070969,7.692821,18.969538
1645613834,45.070969,7.692821,18.969538
1645613847,45.070637,7.692483,18.969538
1645613864,45.071007,7.692816,18.969538
1645613926,45.070759,7.692569,18.969538
1645613926,45.070759,7.692569,10.661306
1645613956,45.070480,7.692356,10.661306
